Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:23:36	00:01:33	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,91	0,00
04/04/2023 16:23:37	00:01:34	1,00	0,00	0,00	0,00	0,03	55,00	1,00	0,00	0,00	0,95	0,00
04/04/2023 16:23:38	00:01:35	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,11	0,00
04/04/2023 16:23:39	00:01:36	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,23	0,00
04/04/2023 16:23:40	00:01:37	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,44	0,00
04/04/2023 16:23:41	00:01:38	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	2,65	0,00
04/04/2023 16:23:42	00:01:39	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	5,25	0,00
04/04/2023 16:23:43	00:01:40	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	8,37	0,00
04/04/2023 16:23:44	00:01:41	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	11,59	0,00
04/04/2023 16:23:45	00:01:42	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	15,12	0,00
04/04/2023 16:23:46	00:01:43	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	17,67	0,00
04/04/2023 16:23:47	00:01:44	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	22,09	0,00
04/04/2023 16:23:48	00:01:45	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	25,81	0,00
04/04/2023 16:23:49	00:01:46	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	29,77	0,00
04/04/2023 16:23:50	00:01:47	1,00	0,00	0,00	0,00	0,03	55,00	1,00	0,00	0,00	33,42	0,00
04/04/2023 16:23:51	00:01:48	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	37,26	0,00
04/04/2023 16:23:52	00:01:49	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	40,00	0,00
04/04/2023 16:23:53	00:01:50	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	44,80	0,00
04/04/2023 16:23:54	00:01:51	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	47,68	0,00
04/04/2023 16:23:55	00:01:52	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	49,41	0,00
04/04/2023 16:23:56	00:01:53	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	48,86	0,00
04/04/2023 16:23:57	00:01:54	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	44,70	0,00
04/04/2023 16:23:58	00:01:55	1,00	0,00	0,00	0,00	0,03	53,00	1,00	1,00	0,00	38,10	0,00
04/04/2023 16:23:59	00:01:56	1,00	0,00	0,00	0,00	0,03	55,00	1,00	0,00	0,00	35,82	0,00
04/04/2023 16:24:00	00:01:57	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	33,40	0,00
04/04/2023 16:24:01	00:01:58	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	24,05	0,00
04/04/2023 16:24:02	00:01:59	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	14,30	0,00
04/04/2023 16:24:03	00:02:00	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	8,62	0,00
04/04/2023 16:24:04	00:02:01	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	1,00	5,79	0,00
04/04/2023 16:24:05	00:02:02	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	1,00	4,07	0,00
04/04/2023 16:24:06	00:02:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	2,99	0,00
04/04/2023 16:24:07	00:02:04	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	2,42	0,00
04/04/2023 16:24:08	00:02:05	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	1,90	0,00
04/04/2023 16:24:09	00:02:06	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	1,55	0,00
04/04/2023 16:24:10	00:02:07	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,41	0,00
04/04/2023 16:24:11	00:02:08	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	1,44	0,00
04/04/2023 16:24:12	00:02:09	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	1,55	0,00
04/04/2023 16:24:13	00:02:10	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	1,35	0,00
04/04/2023 16:24:14	00:02:11	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	1,09	0,00
