TimeStamp;B10200781A: Flow setpoint (ml/min);B10200781A: Flow (ml/min);B13200860A: Flow setpoint (ml/min);B13200860A: Flow (ml/min)
2025-01-17 15:28:05.444;1,1698002;1,3842409;2,0798001;2,043914
2025-01-17 15:28:06.444;1,1698002;1,2675824;2,0798001;2,3110576
2025-01-17 15:28:07.444;1,1698002;1,2730877;2,0798001;2,2711012
2025-01-17 15:28:08.444;1,1698002;1,2922864;2,0798001;2,1627328
2025-01-17 15:28:09.444;1,1698002;1,4444304;2,0798001;2,3037164
2025-01-17 15:28:10.444;1,1698002;1,1296687;2,0798001;2,2679603
2025-01-17 15:28:11.444;1,1698002;1,0185219;2,0798001;2,3063977
2025-01-17 15:28:12.444;1,1698002;0,84078425;2,0798001;2,0339377
2025-01-17 15:28:13.444;1,1698002;0,8152886;2,0798001;2,332304
2025-01-17 15:28:14.444;1,1698002;0,85228884;2,0798001;2,2903159
2025-01-17 15:28:15.444;1,1698002;0,7866365;2,0798001;2,3026164
2025-01-17 15:28:16.444;1,1698002;0,70031863;2,0798001;2,0686517
2025-01-17 15:28:17.444;1,1698002;0,582582;2,0798001;2,1650002
2025-01-17 15:28:18.444;1,1698002;0,63988864;2,0798001;2,2383
2025-01-17 15:28:19.444;1,1698002;0,6399394;2,0798001;1,9525559
2025-01-17 15:28:20.444;1,1698002;0,886296;2,0798001;2,369379
2025-01-17 15:28:21.444;1,1698002;0,8414257;2,0798001;2,2601256
2025-01-17 15:28:22.444;1,1698002;0,79497445;2,0798001;2,2514274
2025-01-17 15:28:23.444;1,1698002;0,8043;2,0798001;1,9163976
2025-01-17 15:28:24.444;1,1698002;1,1610636;2,0798001;2,0741794
2025-01-17 15:28:25.444;1,1698002;1,5308365;2,0798001;2,1949587
2025-01-17 15:28:26.444;1,1698002;1,7124146;2,0798001;2,069313
2025-01-17 15:28:27.444;1,1698002;1,8799593;2,0798001;2,373764
2025-01-17 15:28:28.444;1,1698002;1,6721761;2,0798001;2,0680723
2025-01-17 15:28:29.444;1,1698002;1,6041152;2,0798001;2,2456431
2025-01-17 15:28:30.444;1,1698002;1,5364681;2,0798001;2,0413013
2025-01-17 15:28:31.444;1,1698002;1,6494919;2,0798001;2,268876
2025-01-17 15:28:32.444;1,1698002;1,6357253;2,0798001;2,276449
2025-01-17 15:28:33.444;1,1698002;1,4141755;2,0798001;2,2831044
2025-01-17 15:28:34.444;1,1698002;1,3667364;2,0798001;2,2653987
2025-01-17 15:28:35.444;1,1698002;1,2513256;2,0798001;2,1804433
2025-01-17 15:28:36.444;1,1698002;1,1963326;2,0798001;2,3323379
2025-01-17 15:28:37.444;1,1698002;1,1657987;2,0798001;2,206779
2025-01-17 15:28:38.444;1,1698002;1,1339593;2,0798001;2,3916824
2025-01-17 15:28:39.444;1,1698002;0,96411663;2,0798001;2,1623883
2025-01-17 15:28:40.444;1,1698002;0,80095655;2,0798001;2,3040857
2025-01-17 15:28:41.444;1,1698002;0,6879128;2,0798001;2,2252765
2025-01-17 15:28:42.444;1,1698002;0,67171687;2,0798001;2,1472402
2025-01-17 15:28:43.444;1,1698002;0,8214878;2,0798001;2,3452754
2025-01-17 15:28:44.444;1,1698002;0,698025;2,0798001;2,2601728
2025-01-17 15:28:45.444;1,1698002;0,64866245;2,0798001;2,2458663
2025-01-17 15:28:46.444;1,1698002;0,5582358;2,0798001;1,9219115
2025-01-17 15:28:47.444;1,1698002;0,6193648;2,0798001;2,2742414
2025-01-17 15:28:48.444;1,1698002;0,7614566;2,0798001;2,1992319
2025-01-17 15:28:49.444;1,1698002;0,8357613;2,0798001;2,2069948
2025-01-17 15:28:50.444;1,1698002;1,1043829;2,0798001;2,308406
2025-01-17 15:28:51.444;1,1698002;1,0431712;2,0798001;2,156198
2025-01-17 15:28:52.444;1,1698002;1,1344745;2,0798001;2,1828344
2025-01-17 15:28:53.444;1,1698002;1,2493122;2,0798001;1,8768793
2025-01-17 15:28:54.444;1,1698002;1,6758616;2,0798001;2,3121707
2025-01-17 15:28:55.444;1,1698002;1,766122;2,0798001;2,2280786
2025-01-17 15:28:56.444;1,1698002;1,76296;2,0798001;2,2950375
2025-01-17 15:28:57.444;1,1698002;1,5916607;2,0798001;2,0115218
2025-01-17 15:28:58.444;1,1698002;1,5124785;2,0798001;2,1890495
2025-01-17 15:28:59.444;1,1698002;1,6421926;2,0798001;2,2113576
2025-01-17 15:29:00.444;1,1698002;1,6499351;2,0798001;2,060648
2025-01-17 15:29:01.444;1,1698002;1,7168617;2,0798001;2,3203244
2025-01-17 15:29:02.444;1,1698002;1,3979235;2,0798001;2,2343402
2025-01-17 15:29:03.444;1,1698002;1,3173994;2,0798001;2,320352
2025-01-17 15:29:04.444;1,1698002;1,1693668;2,0798001;2,0791063
2025-01-17 15:29:05.444;1,1698002;1,2168355;2,0798001;2,2921393
2025-01-17 15:29:06.444;1,1698002;1,2204945;2,0798001;2,3028796
2025-01-17 15:29:07.444;1,1698002;1,1042364;2,0798001;2,3163233
2025-01-17 15:29:08.444;1,1698002;1,0214547;2,0798001;2,1846669
2025-01-17 15:29:09.444;1,1698002;0,7827389;2,0798001;2,233981
2025-01-17 15:29:10.444;1,1698002;0,7665425;2,0798001;2,3191352
2025-01-17 15:29:11.444;1,1698002;0,7401475;2,0798001;2,095179
2025-01-17 15:29:12.444;1,1698002;0,8385066;2,0798001;2,3558776
2025-01-17 15:29:13.444;1,1698002;0,7456762;2,0798001;2,1862724
2025-01-17 15:29:14.444;1,1698002;0,64742213;2,0798001;2,216687
2025-01-17 15:29:15.444;1,1698002;0,5926481;2,0798001;2,072526
2025-01-17 15:29:16.444;1,1698002;0,6435606;2,0798001;2,070624
2025-01-17 15:29:17.444;1,1698002;0,85477084;2,0798001;2,2870748
2025-01-17 15:29:18.444;1,1698002;0,8659893;2,0798001;2,1727552
2025-01-17 15:29:19.444;1,1698002;0,95569426;2,0798001;2,3375247
2025-01-17 15:29:20.444;1,1698002;0,95309716;2,0798001;1,8798445
2025-01-17 15:29:21.444;1,1698002;1,2641239;2,0798001;2,2203214
2025-01-17 15:29:22.444;1,1698002;1,4361181;2,0798001;2,1228669
2025-01-17 15:29:23.444;1,1698002;1,6728959;2,0798001;2,1716664
2025-01-17 15:29:24.444;1,1698002;1,8373702;2,0798001;2,3067741
2025-01-17 15:29:25.444;1,1698002;1,6038786;2,0798001;2,253905
2025-01-17 15:29:26.444;1,1698002;1,5839295;2,0798001;2,2482374
2025-01-17 15:29:27.444;1,1698002;1,4340171;2,0798001;1,9188248
2025-01-17 15:29:28.444;1,1698002;1,6029153;2,0798001;2,2646432
2025-01-17 15:29:29.444;1,1698002;1,5662847;2,0798001;2,2174356
2025-01-17 15:29:30.444;1,1698002;1,5112549;2,0798001;2,354062
2025-01-17 15:29:31.444;1,1698002;1,3655089;2,0798001;2,0614953
2025-01-17 15:29:32.444;1,1698002;1,2220907;2,0798001;2,2889118
2025-01-17 15:29:33.444;1,1698002;1,2171897;2,0798001;2,264019
2025-01-17 15:29:34.444;1,1698002;1,2403774;2,0798001;2,1125336
2025-01-17 15:29:35.444;1,1698002;1,380394;2,0798001;2,3040304
2025-01-17 15:29:36.444;1,1698002;1,1184134;2,0798001;2,271076
2025-01-17 15:29:37.444;1,1698002;1,0165524;2,0798001;2,30132
2025-01-17 15:29:38.444;1,1698002;0,83605224;2,0798001;2,0127318
2025-01-17 15:29:39.444;1,1698002;0,7802179;2,0798001;2,2908335
2025-01-17 15:29:40.444;1,1698002;0,8277329;2,0798001;2,2661653
2025-01-17 15:29:41.444;1,1698002;0,80586064;2,0798001;2,2205606
2025-01-17 15:29:42.444;1,1698002;0,8276066;2,0798001;2,240561
2025-01-17 15:29:43.444;1,1698002;0,61312556;2,0798001;2,1716428
2025-01-17 15:29:44.444;1,1698002;0,6849786;2,0798001;2,239739
2025-01-17 15:29:45.444;1,1698002;0,65636283;2,0798001;1,9429188
2025-01-17 15:29:46.444;1,1698002;0,893073;2,0798001;2,3056686
2025-01-17 15:29:47.444;1,1698002;0,8927553;2,0798001;2,2072282
2025-01-17 15:29:48.444;1,1698002;0,8467991;2,0798001;2,220162
2025-01-17 15:29:49.444;1,1698002;0,8289313;2,0798001;1,9725572
2025-01-17 15:29:50.444;1,1698002;0,95366555;2,0798001;2,0182066
2025-01-17 15:29:51.444;1,1698002;1,3639157;2,0798001;2,1756024
2025-01-17 15:29:52.444;1,1698002;1,5388905;2,0798001;2,0473018
2025-01-17 15:29:53.444;1,1698002;1,7763348;2,0798001;2,3307915
2025-01-17 15:29:54.444;1,1698002;1,6720684;2,0798001;2,0163748
2025-01-17 15:29:55.444;1,1698002;1,6129444;2,0798001;2,1768627
2025-01-17 15:29:56.444;1,1698002;1,543361;2,0798001;2,043831
2025-01-17 15:29:57.444;1,1698002;1,6181747;2,0798001;2,1845937
2025-01-17 15:29:58.444;1,1698002;1,6879176;2,0798001;2,231876
2025-01-17 15:29:59.444;1,1698002;1,4897919;2,0798001;2,2357774
2025-01-17 15:30:00.444;1,1698002;1,4391129;2,0798001;2,2410717
2025-01-17 15:30:01.444;1,1698002;1,3134828;2,0798001;2,0585575
2025-01-17 15:30:02.444;1,1698002;1,2347782;2,0798001;2,186906
2025-01-17 15:30:03.444;1,1698002;1,2421936;2,0798001;2,1111057
2025-01-17 15:30:04.444;1,1698002;1,2674513;2,0798001;2,2151928
2025-01-17 15:30:05.444;1,1698002;1,1300519;2,0798001;2,0101519
2025-01-17 15:30:06.444;1,1698002;0,98031217;2,0798001;1,8373233
2025-01-17 15:30:07.444;1,1698002;0,90513515;2,0798001;1,7421818
2025-01-17 15:30:08.444;1,1698002;0,8596635;2,0798001;1,6622753
2025-01-17 15:30:09.444;1,1698002;0,990005;2,0798001;2,0752356
2025-01-17 15:30:10.444;1,1698002;0,87895954;2,0798001;2,177505
2025-01-17 15:30:11.444;1,1698002;0,8003053;2,0798001;2,176967
2025-01-17 15:30:12.444;1,1698002;0,68234384;2,0798001;2,132054
2025-01-17 15:30:13.444;1,1698002;0,7257622;2,0798001;2,009849
2025-01-17 15:30:14.444;1,1698002;0,81578165;2,0798001;2,077982
2025-01-17 15:30:15.444;1,1698002;0,95484924;2,0798001;1,9692783
2025-01-17 15:30:16.444;1,1698002;1,0960975;2,0798001;2,155957
2025-01-17 15:30:17.444;1,1698002;0,9372678;2,0798001;2,0984712
2025-01-17 15:30:18.444;1,1698002;0,96388847;2,0798001;2,1920786
2025-01-17 15:30:19.444;1,1698002;0,97616154;2,0798001;2,1141503
2025-01-17 15:30:20.444;1,1698002;1,1001587;2,0798001;2,0489583
2025-01-17 15:30:21.444;1,1698002;1,3106085;2,0798001;2,1364446
2025-01-17 15:30:22.444;1,1698002;1,3314457;2,0798001;2,0851457
2025-01-17 15:30:23.444;1,1698002;1,274619;2,0798001;2,1058173
2025-01-17 15:30:24.444;1,1698002;1,3462777;2,0798001;2,0083277
2025-01-17 15:30:25.444;1,1698002;1,5098008;2,0798001;2,1201231
2025-01-17 15:30:26.444;1,1698002;1,5971271;2,0798001;2,0691924
2025-01-17 15:30:27.444;1,1698002;1,7291136;2,0798001;2,0013885
2025-01-17 15:30:28.444;1,1698002;1,4753253;2,0798001;2,016518
2025-01-17 15:30:29.444;1,1698002;1,4567595;2,0798001;1,941987
2025-01-17 15:30:30.444;1,1698002;1,3465347;2,0798001;2,0631502
2025-01-17 15:30:31.444;1,1698002;1,4368781;2,0798001;2,052279
2025-01-17 15:30:32.444;1,1698002;1,5529482;2,0798001;2,256177
2025-01-17 15:30:33.444;1,1698002;1,5305407;2,0798001;2,2039218
2025-01-17 15:30:34.444;1,1698002;1,519589;2,0798001;2,1739542
2025-01-17 15:30:35.444;1,1698002;1,2349716;2,0798001;1,96487
2025-01-17 15:30:36.444;1,1698002;1,2389947;2,0798001;1,8287847
2025-01-17 15:30:37.444;1,1698002;1,1689974;2,0798001;1,8685665
2025-01-17 15:30:38.444;1,1698002;1,2864143;2,0798001;2,0112844
