Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
05/04/2023 11:11:31	00:02:11	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	1,00	90,14	0,00
05/04/2023 11:11:32	00:02:12	1,00	0,00	0,00	0,00	0,03	55,00	1,00	1,00	0,00	76,96	0,00
05/04/2023 11:11:33	00:02:13	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	47,75	0,00
05/04/2023 11:11:34	00:02:14	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	27,27	0,00
05/04/2023 11:11:35	00:02:15	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	0,00	18,12	0,00
05/04/2023 11:11:36	00:02:16	1,00	0,00	0,00	0,00	0,03	52,00	1,00	1,00	0,00	13,41	0,00
05/04/2023 11:11:37	00:02:17	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	10,23	0,00
05/04/2023 11:11:38	00:02:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	8,05	0,00
05/04/2023 11:11:39	00:02:19	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	1,00	6,47	0,00
05/04/2023 11:11:40	00:02:20	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	5,44	0,00
05/04/2023 11:11:41	00:02:21	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	5,64	0,00
05/04/2023 11:11:42	00:02:22	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	0,00	6,06	0,00
05/04/2023 11:11:43	00:02:23	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	4,86	0,00
05/04/2023 11:11:44	00:02:24	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	1,00	3,80	0,00
